model,condition,eval_dataset,n,accuracy,ece,ece_ci_lo,ece_ci_hi,adaptive_ece,adaptive_ece_ci_lo,adaptive_ece_ci_hi,mce,brier,brier_ci_lo,brier_ci_hi,nll,nll_ci_lo,nll_ci_hi,aurc,aurc_ci_lo,aurc_ci_hi,e_aurc,e_aurc_ci_lo,e_aurc_ci_hi,sel_acc_100,sel_acc_90,sel_acc_80,sel_acc_70,sel_acc_50,coverage_at_5pct_risk,auroc_optsoftmax,auroc_entropy,auroc_mean_logprob
huatuo,pathvqa,pathvqa,2060,0.852913,0.074202,0.062381,0.090551,0.073959,0.060949,0.088795,0.169544,0.232286,0.209548,0.257201,0.386310,0.349095,0.427257,0.048775,0.041165,0.057187,0.037348,0.031378,0.043427,0.852913,0.882416,0.904733,0.923024,0.954369,0.519903,0.791187,0.791187,0.791163
huatuo,pathvqa,slake_en,357,0.507003,0.310179,0.257383,0.365243,0.310179,0.263684,0.366855,0.517828,0.697211,0.619607,0.771589,1.054279,0.928122,1.169401,0.398476,0.321145,0.464551,0.249165,0.194076,0.293533,0.507003,0.531056,0.524476,0.512000,0.547486,0.002801,0.591506,0.591506,0.591192
huatuo,pathvqa,vqa_rad,122,0.532787,0.336249,0.257925,0.426155,0.336249,0.262693,0.424986,0.534855,0.681827,0.550504,0.824903,1.062422,0.854603,1.292652,0.328631,0.229416,0.432862,0.194971,0.123028,0.266532,0.532787,0.563636,0.591837,0.616279,0.639344,0.040984,0.678543,0.678543,0.678543
huatuo,slake_en,pathvqa,2060,0.627670,0.121199,0.103766,0.142525,0.120857,0.104420,0.141364,0.209061,0.475142,0.454717,0.495352,0.679402,0.651252,0.706097,0.259250,0.235684,0.282740,0.179161,0.161962,0.197340,0.627670,0.635383,0.646845,0.663662,0.712621,0.000485,0.627109,0.627109,0.627109
huatuo,slake_en,slake_en,357,0.837535,0.082683,0.060336,0.124389,0.084041,0.054914,0.122328,0.270365,0.249124,0.191246,0.306392,0.437842,0.334292,0.543247,0.055784,0.035091,0.077459,0.041580,0.024639,0.059217,0.837535,0.869565,0.895105,0.924000,0.949721,0.526611,0.796621,0.796621,0.796563
huatuo,slake_en,vqa_rad,122,0.622951,0.197220,0.141884,0.287531,0.211127,0.155830,0.290351,0.406514,0.496049,0.389509,0.605197,0.770245,0.590719,0.960569,0.217320,0.145366,0.305741,0.133566,0.086166,0.189117,0.622951,0.645455,0.673469,0.686047,0.754098,0.172131,0.699943,0.699943,0.699943
huatuo,vqa_rad,pathvqa,2060,0.567961,0.228995,0.208910,0.251024,0.229056,0.208884,0.251065,0.315448,0.576858,0.550224,0.603950,0.893520,0.845339,0.940603,0.338744,0.311116,0.367310,0.227897,0.206609,0.248750,0.567961,0.570658,0.589199,0.617198,0.664078,0.002913,0.618037,0.618037,0.618096
huatuo,vqa_rad,slake_en,357,0.831933,0.076225,0.054926,0.116889,0.078073,0.054636,0.117431,0.183802,0.251177,0.199484,0.309539,0.437294,0.340495,0.552135,0.061073,0.040972,0.085201,0.045849,0.029903,0.063900,0.831933,0.863354,0.895105,0.920000,0.938547,0.394958,0.783446,0.783446,0.775196
huatuo,vqa_rad,vqa_rad,122,0.819672,0.135033,0.091452,0.214788,0.135570,0.092326,0.208553,0.484395,0.312863,0.210451,0.426202,0.619904,0.404570,0.865629,0.130479,0.066343,0.216049,0.112407,0.055073,0.187866,0.819672,0.845455,0.846939,0.837209,0.852459,0.040984,0.611364,0.611364,0.611364
huatuo,zero_shot,pathvqa,2060,0.672816,0.085176,0.067418,0.104233,0.085206,0.069416,0.105747,0.117340,0.420044,0.399563,0.441093,0.621231,0.593458,0.649996,0.219005,0.196718,0.242759,0.158367,0.141074,0.178158,0.672816,0.688781,0.716019,0.742718,0.792233,0.000000,0.667186,0.667186,0.597899
huatuo,zero_shot,slake_en,357,0.756303,0.092903,0.061721,0.136968,0.085023,0.062584,0.137892,0.180453,0.322954,0.273466,0.378907,0.496575,0.417087,0.583546,0.099535,0.071193,0.132971,0.066742,0.046773,0.089874,0.756303,0.791925,0.825175,0.856000,0.888268,0.366947,0.776586,0.776586,0.364964
