model,train_dataset,corruption,severity,n,accuracy,ece,aurc,sel_acc_70
qwen25vl,vqa_rad,clean,0,122,0.7622950819672131,0.18274884255985452,0.09558726243413576,0.8604651162790697
qwen25vl,vqa_rad,gaussian_noise,1,122,0.7950819672131147,0.1708563606825138,0.09261482466521431,0.872093023255814
qwen25vl,vqa_rad,gaussian_noise,2,122,0.7704918032786885,0.17611263820146383,0.0928951041781282,0.872093023255814
qwen25vl,vqa_rad,gaussian_noise,3,122,0.8032786885245902,0.15964878582110248,0.09723361606888793,0.8604651162790697
qwen25vl,vqa_rad,gaussian_blur,1,122,0.7622950819672131,0.17783369206990762,0.09052141033351875,0.8604651162790697
qwen25vl,vqa_rad,gaussian_blur,2,122,0.7868852459016393,0.17605187427448793,0.09842366822213414,0.8604651162790697
qwen25vl,vqa_rad,gaussian_blur,3,122,0.8114754098360656,0.15592481380366024,0.10066711016859012,0.8488372093023255
qwen25vl,vqa_rad,motion_blur,1,122,0.7786885245901639,0.16341484948568746,0.09410068279660196,0.872093023255814
qwen25vl,vqa_rad,motion_blur,2,122,0.7868852459016393,0.14682731272716176,0.09846254196728567,0.8604651162790697
qwen25vl,vqa_rad,motion_blur,3,122,0.8114754098360656,0.1309910816236437,0.09989439941942231,0.872093023255814
qwen25vl,vqa_rad,brightness_shift,1,122,0.7622950819672131,0.17340183472236745,0.09634754136933882,0.8604651162790697
qwen25vl,vqa_rad,brightness_shift,2,122,0.7622950819672131,0.1745178558113363,0.09374754753436208,0.8604651162790697
qwen25vl,vqa_rad,brightness_shift,3,122,0.7868852459016393,0.18183377771452813,0.09332191482237215,0.872093023255814
qwen25vl,vqa_rad,contrast_shift,1,122,0.7622950819672131,0.17893838786736915,0.09785186224757915,0.872093023255814
qwen25vl,vqa_rad,contrast_shift,2,122,0.7786885245901639,0.17375306901439108,0.09366750946659448,0.8604651162790697
qwen25vl,vqa_rad,contrast_shift,3,122,0.7786885245901639,0.15658161999244308,0.0895775404495844,0.872093023255814
qwen25vl,vqa_rad,jpeg_compression,1,122,0.7622950819672131,0.16679105822072932,0.0948989378316955,0.872093023255814
qwen25vl,vqa_rad,jpeg_compression,2,122,0.7622950819672131,0.16945584450072737,0.09236765874479803,0.872093023255814
