model,condition,modality,n,accuracy,ece,ece_ci_lo,ece_ci_hi,brier,nll,aurc,aurc_ci_lo,aurc_ci_hi,e_aurc
huatuo,ft_vqa_rad,CT(Computed Tomography),200,0.175,0.5882590129268255,0.5311218248928286,0.6530382791632886,1.321286655974135,4.075343212725588,0.8769617076229421,0.8120423807140508,0.935115676871091,0.35493037521624415
huatuo,ft_vqa_rad,Dermoscopy,200,0.545,0.14089748410345168,0.11787293954805403,0.23532904393089868,0.6831176870487871,1.6101850581980153,0.44321766349069647,0.337809567368037,0.5351331607861178,0.3178812196284614
huatuo,ft_vqa_rad,Fundus Photography,200,0.45,0.12580561106885396,0.08488512541811895,0.20331139313996105,0.6723263326508822,1.2358966563581602,0.4356182603515626,0.3487328080422697,0.5361875562889684,0.24357541572438063
huatuo,ft_vqa_rad,MR (Mag-netic Resonance Imaging),200,0.285,0.334455861091863,0.2838398963430153,0.4070420378812166,0.9836105133736888,2.4133679383050533,0.7282784430807723,0.6517718156085555,0.797909186629621,0.3692484971821632
huatuo,ft_vqa_rad,Microscopy Images,200,0.36,0.22981330783715048,0.18546860320171613,0.3076473377434933,0.8249083521214635,1.7923929612579241,0.5937894696635557,0.5012925391651114,0.6944690220130153,0.31998895570235864
huatuo,ft_vqa_rad,OCT (Optical Coherence Tomography,200,0.59,0.11325439436567734,0.08478068334604098,0.17947069537628163,0.5506442026036006,1.0437424908332817,0.19804886176595038,0.1446708269492481,0.2576642062555652,0.09832948147904359
huatuo,ft_vqa_rad,X-Ray,200,0.39,0.26897327914658387,0.21908496003854178,0.3533130411611222,0.8123747166886508,2.419984916777592,0.6395592748590093,0.5489178536713323,0.7176390254618623,0.39526613469838073
huatuo,ft_vqa_rad,ultrasound,200,0.03,0.6940156917921954,0.6602691570527308,0.724854193181948,1.4726144994013455,6.225260743420684,0.9595048920950546,0.9185855598079425,0.9923713114598331,0.09234582053869789
huatuo,zero_shot,CT(Computed Tomography),200,0.155,0.5723411960135372,0.5107828269928215,0.6309471047812114,1.308238394199158,5.222362611186742,0.8990760330585584,0.8436411342732695,0.9433246475811417,0.3409478247247216
huatuo,zero_shot,Dermoscopy,200,0.515,0.20385772767159682,0.1529650555921717,0.272349377900305,0.6437577284657944,1.7437599708204519,0.33152252465778503,0.2438698935321666,0.42495254712353137,0.18706101184709129
huatuo,zero_shot,Fundus Photography,200,0.435,0.14306832958142587,0.11388043582225543,0.2197971472801976,0.6791179110304761,1.2336725206120724,0.4873796651085139,0.39024603261789975,0.589813485352825,0.28306907090319133
huatuo,zero_shot,MR (Mag-netic Resonance Imaging),200,0.37,0.2580757386465399,0.20716334747215606,0.32868614232758436,0.8359927695129359,2.4146670924524347,0.5478314715885247,0.4521694847994337,0.6399104485150484,0.28413467242216506
huatuo,zero_shot,Microscopy Images,200,0.435,0.21619424251917946,0.16938610904852497,0.2926423029636059,0.7768403984569803,1.7248973679420578,0.5491975299362781,0.45354875562201347,0.6430068372229301,0.3448869357309555
