model,condition,eval_dataset,n_calib,n_test,temperature,calib_nll,accuracy_before,accuracy_after,ece_before,ece_after,nll_before,nll_after
huatuo,pathvqa,pathvqa,1646,2060,1.964545,0.386555,0.852913,0.852913,0.074202,0.032289,0.386310,0.350249
huatuo,pathvqa,slake_en,233,357,19.999993,0.692315,0.507003,0.507003,0.310179,0.092029,1.054279,0.688680
huatuo,pathvqa,vqa_rad,115,122,19.999994,0.693373,0.532787,0.532787,0.336249,0.107829,1.062422,0.682426
huatuo,slake_en,pathvqa,1646,2060,1.599693,0.605354,0.627670,0.627670,0.121199,0.063016,0.679402,0.636001
huatuo,slake_en,slake_en,233,357,1.780905,0.336260,0.837535,0.837535,0.082683,0.038057,0.437842,0.365530
huatuo,slake_en,vqa_rad,115,122,4.791918,0.661588,0.622951,0.622951,0.197220,0.116540,0.770245,0.607549
huatuo,vqa_rad,pathvqa,1646,2060,3.655203,0.644152,0.567961,0.567961,0.228995,0.049035,0.893520,0.667647
huatuo,vqa_rad,slake_en,233,357,2.463385,0.386273,0.831933,0.831933,0.076225,0.050234,0.437294,0.391283
huatuo,vqa_rad,vqa_rad,115,122,2.318980,0.470541,0.819672,0.819672,0.135033,0.073168,0.619904,0.476416
huatuo,zero_shot,pathvqa,1646,2060,1.970875,0.621576,0.672816,0.672816,0.085176,0.045082,0.621231,0.598295
huatuo,zero_shot,slake_en,233,357,1.193836,0.415568,0.756303,0.756303,0.092903,0.073136,0.496575,0.476073
huatuo,zero_shot,vqa_rad,115,122,0.720309,0.490754,0.737705,0.737705,0.071956,0.055740,0.489907,0.493066
internvl,pathvqa,pathvqa,1646,2060,1.501314,0.335603,0.896117,0.896117,0.029825,0.060236,0.287962,0.295591
internvl,pathvqa,slake_en,233,357,6.866892,0.670056,0.532213,0.532213,0.373901,0.068705,1.356477,0.693238
internvl,pathvqa,vqa_rad,115,122,19.999994,0.696683,0.532787,0.532787,0.361429,0.041857,1.449444,0.691267
internvl,slake_en,pathvqa,1646,2060,1.781947,0.631143,0.675728,0.675728,0.048026,0.049281,0.605839,0.605497
internvl,slake_en,slake_en,233,357,1.586722,0.448350,0.689076,0.689076,0.103309,0.072450,0.552732,0.533191
