model,train_dataset,corruption,severity,n,accuracy,ece,aurc,sel_acc_70
qwen25vl,vqa_rad,clean,0,122,0.762295,0.182749,0.095587,0.860465
qwen25vl,vqa_rad,gaussian_noise,1,122,0.795082,0.170856,0.092615,0.872093
qwen25vl,vqa_rad,gaussian_noise,2,122,0.770492,0.176113,0.092895,0.872093
qwen25vl,vqa_rad,gaussian_noise,3,122,0.803279,0.159649,0.097234,0.860465
qwen25vl,vqa_rad,gaussian_blur,1,122,0.762295,0.177834,0.090521,0.860465
qwen25vl,vqa_rad,gaussian_blur,2,122,0.786885,0.176052,0.098424,0.860465
qwen25vl,vqa_rad,gaussian_blur,3,122,0.811475,0.155925,0.100667,0.848837
qwen25vl,vqa_rad,motion_blur,1,122,0.778689,0.163415,0.094101,0.872093
qwen25vl,vqa_rad,motion_blur,2,122,0.786885,0.146827,0.098463,0.860465
qwen25vl,vqa_rad,motion_blur,3,122,0.811475,0.130991,0.099894,0.872093
qwen25vl,vqa_rad,brightness_shift,1,122,0.762295,0.173402,0.096348,0.860465
qwen25vl,vqa_rad,brightness_shift,2,122,0.762295,0.174518,0.093748,0.860465
qwen25vl,vqa_rad,brightness_shift,3,122,0.786885,0.181834,0.093322,0.872093
qwen25vl,vqa_rad,contrast_shift,1,122,0.762295,0.178938,0.097852,0.872093
qwen25vl,vqa_rad,contrast_shift,2,122,0.778689,0.173753,0.093668,0.860465
qwen25vl,vqa_rad,contrast_shift,3,122,0.778689,0.156582,0.089578,0.872093
qwen25vl,vqa_rad,jpeg_compression,1,122,0.762295,0.166791,0.094899,0.872093
qwen25vl,vqa_rad,jpeg_compression,2,122,0.762295,0.169456,0.092368,0.872093
qwen25vl,vqa_rad,jpeg_compression,3,122,0.786885,0.143398,0.102788,0.848837
qwen25vl,vqa_rad,downscale_upscale,1,122,0.770492,0.156708,0.095007,0.860465
qwen25vl,vqa_rad,downscale_upscale,2,122,0.770492,0.166442,0.089414,0.872093
qwen25vl,vqa_rad,downscale_upscale,3,122,0.795082,0.140886,0.098980,0.860465
qwen25vl,slake_en,clean,0,357,0.787115,0.060433,0.086886,0.884000
qwen25vl,slake_en,gaussian_noise,1,357,0.784314,0.052949,0.098163,0.848000
qwen25vl,slake_en,gaussian_noise,2,357,0.764706,0.043135,0.093780,0.880000
qwen25vl,slake_en,gaussian_noise,3,357,0.750700,0.043434,0.117835,0.824000
qwen25vl,slake_en,gaussian_blur,1,357,0.784314,0.058624,0.094562,0.868000
qwen25vl,slake_en,gaussian_blur,2,357,0.795518,0.040122,0.099622,0.868000
qwen25vl,slake_en,gaussian_blur,3,357,0.764706,0.073283,0.100295,0.840000
qwen25vl,slake_en,motion_blur,1,357,0.792717,0.056023,0.094834,0.872000
qwen25vl,slake_en,motion_blur,2,357,0.728291,0.070797,0.120608,0.860000
qwen25vl,slake_en,motion_blur,3,357,0.731092,0.066147,0.113697,0.836000
qwen25vl,slake_en,brightness_shift,1,357,0.803922,0.055973,0.087152,0.884000
qwen25vl,slake_en,brightness_shift,2,357,0.809524,0.044219,0.082699,0.892000
qwen25vl,slake_en,brightness_shift,3,357,0.803922,0.041533,0.082430,0.888000
qwen25vl,slake_en,contrast_shift,1,357,0.801120,0.040311,0.087450,0.888000
qwen25vl,slake_en,contrast_shift,2,357,0.789916,0.042570,0.083322,0.896000
qwen25vl,slake_en,contrast_shift,3,357,0.798319,0.037063,0.084914,0.888000
