model,condition,dataset,n,parse_rate,n_joined,mean_verbalized_conf,auroc_verbalized
huatuo,ft_pathvqa,pathvqa,2060,0.000000,0,,
huatuo,ft_slake_en,slake_en,357,1.000000,357,0.738655,0.464768
huatuo,ft_vqa_rad,vqa_rad,122,1.000000,122,0.916393,0.636818
huatuo,zero_shot,pathvqa,2060,1.000000,2060,0.942840,0.544533
huatuo,zero_shot,slake_en,357,1.000000,357,0.935014,0.644019
huatuo,zero_shot,vqa_rad,122,1.000000,122,0.936885,0.525000
internvl,ft_pathvqa,pathvqa,2060,0.000000,0,,
internvl,ft_slake_en,slake_en,357,0.033600,12,1.000000,0.628571
internvl,ft_vqa_rad,vqa_rad,122,0.008200,1,1.000000,
internvl,zero_shot,pathvqa,2060,0.994200,2048,0.962339,0.470665
internvl,zero_shot,slake_en,357,0.997200,356,0.965169,0.597254
internvl,zero_shot,vqa_rad,122,0.983600,120,0.941250,0.610088
llavaov,ft_pathvqa,pathvqa,2060,0.000000,0,,
llavaov,ft_slake_en,slake_en,357,0.386600,138,0.996377,0.396243
llavaov,ft_vqa_rad,vqa_rad,122,0.508200,62,0.901613,0.522763
llavaov,zero_shot,pathvqa,2060,0.801500,1651,0.986251,0.521692
llavaov,zero_shot,slake_en,357,0.509800,182,0.946703,0.393902
llavaov,zero_shot,vqa_rad,122,0.467200,57,0.985965,0.503704
medgemma,ft_pathvqa,pathvqa,2060,0.000000,0,,
medgemma,ft_slake_en,slake_en,357,0.000000,0,,
medgemma,ft_vqa_rad,vqa_rad,122,0.737700,90,0.874889,0.672857
medgemma,zero_shot,pathvqa,2060,1.000000,2060,0.994903,0.442889
medgemma,zero_shot,slake_en,357,1.000000,357,0.995238,0.468244
medgemma,zero_shot,vqa_rad,122,1.000000,122,0.993852,0.570856
qwen25vl,ft_pathvqa,pathvqa,2060,0.000000,0,,
qwen25vl,ft_slake_en,slake_en,357,0.092400,33,0.948485,0.728395
qwen25vl,ft_vqa_rad,vqa_rad,122,1.000000,122,0.864098,0.600297
qwen25vl,zero_shot,pathvqa,2060,1.000000,2060,0.938811,0.522352
qwen25vl,zero_shot,slake_en,357,1.000000,357,0.930532,0.687076
qwen25vl,zero_shot,vqa_rad,122,1.000000,122,0.942213,0.532554
smolvlm,ft_pathvqa,pathvqa,2060,0.367500,757,0.639762,0.540611
smolvlm,ft_slake_en,slake_en,357,0.000000,0,,
smolvlm,ft_vqa_rad,vqa_rad,122,0.049200,6,0.900000,0.250000
smolvlm,zero_shot,pathvqa,2060,0.002400,5,0.190000,0.833333
smolvlm,zero_shot,slake_en,357,0.000000,0,,
smolvlm,zero_shot,vqa_rad,122,0.024600,3,0.063333,1.000000
