model,condition,modality,n,accuracy,ece,ece_ci_lo,ece_ci_hi,brier,nll,aurc,aurc_ci_lo,aurc_ci_hi,e_aurc
huatuo,ft_vqa_rad,CT(Computed Tomography),200,0.175000,0.588259,0.531122,0.653038,1.321287,4.075343,0.876962,0.812042,0.935116,0.354930
huatuo,ft_vqa_rad,Dermoscopy,200,0.545000,0.140897,0.117873,0.235329,0.683118,1.610185,0.443218,0.337810,0.535133,0.317881
huatuo,ft_vqa_rad,Fundus Photography,200,0.450000,0.125806,0.084885,0.203311,0.672326,1.235897,0.435618,0.348733,0.536188,0.243575
huatuo,ft_vqa_rad,MR (Mag-netic Resonance Imaging),200,0.285000,0.334456,0.283840,0.407042,0.983611,2.413368,0.728278,0.651772,0.797909,0.369248
huatuo,ft_vqa_rad,Microscopy Images,200,0.360000,0.229813,0.185469,0.307647,0.824908,1.792393,0.593789,0.501293,0.694469,0.319989
huatuo,ft_vqa_rad,OCT (Optical Coherence Tomography,200,0.590000,0.113254,0.084781,0.179471,0.550644,1.043742,0.198049,0.144671,0.257664,0.098329
huatuo,ft_vqa_rad,X-Ray,200,0.390000,0.268973,0.219085,0.353313,0.812375,2.419985,0.639559,0.548918,0.717639,0.395266
huatuo,ft_vqa_rad,ultrasound,200,0.030000,0.694016,0.660269,0.724854,1.472614,6.225261,0.959505,0.918586,0.992371,0.092346
huatuo,zero_shot,CT(Computed Tomography),200,0.155000,0.572341,0.510783,0.630947,1.308238,5.222363,0.899076,0.843641,0.943325,0.340948
huatuo,zero_shot,Dermoscopy,200,0.515000,0.203858,0.152965,0.272349,0.643758,1.743760,0.331523,0.243870,0.424953,0.187061
huatuo,zero_shot,Fundus Photography,200,0.435000,0.143068,0.113880,0.219797,0.679118,1.233673,0.487380,0.390246,0.589813,0.283069
huatuo,zero_shot,MR (Mag-netic Resonance Imaging),200,0.370000,0.258076,0.207163,0.328686,0.835993,2.414667,0.547831,0.452169,0.639910,0.284135
huatuo,zero_shot,Microscopy Images,200,0.435000,0.216194,0.169386,0.292642,0.776840,1.724897,0.549198,0.453549,0.643007,0.344887
huatuo,zero_shot,OCT (Optical Coherence Tomography,200,0.560000,0.097297,0.080245,0.172548,0.569982,1.138633,0.216594,0.160925,0.280443,0.100194
huatuo,zero_shot,X-Ray,200,0.365000,0.316939,0.262425,0.394023,0.912339,2.634319,0.694787,0.612897,0.776113,0.426073
huatuo,zero_shot,ultrasound,200,0.075000,0.669610,0.623296,0.714318,1.478068,6.664355,0.942514,0.897613,0.978785,0.209499
internvl,ft_vqa_rad,CT(Computed Tomography),200,0.130000,0.638877,0.581048,0.695586,1.376499,4.208796,0.926982,0.888098,0.958179,0.320051
internvl,ft_vqa_rad,Dermoscopy,200,0.620000,0.095703,0.080445,0.173909,0.516033,1.337667,0.293213,0.199968,0.377971,0.208647
internvl,ft_vqa_rad,Fundus Photography,200,0.535000,0.065278,0.058335,0.152546,0.620535,1.171553,0.376804,0.291432,0.480101,0.245280
internvl,ft_vqa_rad,MR (Mag-netic Resonance Imaging),200,0.320000,0.279000,0.229806,0.356453,0.939081,2.328498,0.731641,0.652847,0.802889,0.414566
internvl,ft_vqa_rad,Microscopy Images,200,0.420000,0.156733,0.137544,0.246357,0.786060,1.687727,0.523082,0.425843,0.620514,0.305986
internvl,ft_vqa_rad,OCT (Optical Coherence Tomography,200,0.600000,0.092281,0.062808,0.161113,0.577880,1.127571,0.205110,0.152858,0.269129,0.110608
internvl,ft_vqa_rad,X-Ray,200,0.470000,0.191185,0.156681,0.271529,0.719117,2.068463,0.539084,0.450503,0.627124,0.362623
internvl,ft_vqa_rad,ultrasound,200,0.140000,0.602680,0.551476,0.654940,1.322204,5.641281,0.874155,0.804350,0.941278,0.287275
internvl,zero_shot,CT(Computed Tomography),200,0.140000,0.642900,0.595285,0.709593,1.394679,5.864798,0.884641,0.817871,0.952407,0.297762
internvl,zero_shot,Dermoscopy,200,0.555000,0.149154,0.108883,0.220671,0.587849,1.752914,0.327589,0.233643,0.418559,0.208256
internvl,zero_shot,Fundus Photography,200,0.615000,0.173147,0.140998,0.254620,0.636586,1.219105,0.388045,0.294098,0.493336,0.301056
internvl,zero_shot,MR (Mag-netic Resonance Imaging),200,0.390000,0.250041,0.199151,0.333047,0.874342,2.635998,0.640233,0.551599,0.722194,0.395940
internvl,zero_shot,Microscopy Images,200,0.470000,0.220306,0.176912,0.297647,0.774122,1.772934,0.475284,0.382870,0.577426,0.298823
internvl,zero_shot,OCT (Optical Coherence Tomography,200,0.580000,0.080923,0.068078,0.153511,0.574639,1.169654,0.203197,0.149360,0.265464,0.098092
internvl,zero_shot,X-Ray,200,0.385000,0.293493,0.236414,0.370409,0.835189,2.492047,0.640062,0.551759,0.721700,0.391016
internvl,zero_shot,ultrasound,200,0.175000,0.580964,0.528835,0.642252,1.307924,5.963843,0.844309,0.773894,0.914736,0.322278
llavaov,ft_vqa_rad,CT(Computed Tomography),200,0.175000,0.581068,0.519268,0.637808,1.300724,4.221676,0.882078,0.831300,0.926768,0.360046
llavaov,ft_vqa_rad,Dermoscopy,200,0.540000,0.138972,0.112888,0.229581,0.648151,1.589821,0.402951,0.305944,0.501697,0.274545
llavaov,ft_vqa_rad,Fundus Photography,200,0.425000,0.116254,0.084007,0.192596,0.678957,1.231898,0.466435,0.374439,0.565295,0.253660
llavaov,ft_vqa_rad,MR (Mag-netic Resonance Imaging),200,0.360000,0.250678,0.199994,0.328083,0.890939,2.358397,0.628195,0.532317,0.708382,0.354394
llavaov,ft_vqa_rad,Microscopy Images,200,0.435000,0.259313,0.200173,0.334829,0.825196,1.814191,0.575902,0.481255,0.670399,0.371591
llavaov,ft_vqa_rad,OCT (Optical Coherence Tomography,200,0.580000,0.113610,0.092883,0.191580,0.559510,1.044097,0.226963,0.169041,0.294573,0.121857
llavaov,ft_vqa_rad,X-Ray,200,0.345000,0.333655,0.267631,0.408445,0.927629,2.787258,0.732697,0.652390,0.803151,0.443217
llavaov,ft_vqa_rad,ultrasound,200,0.045000,0.701067,0.663446,0.738206,1.501691,6.514637,0.955519,0.914411,0.986380,0.137727
llavaov,zero_shot,CT(Computed Tomography),200,0.190000,0.606706,0.550607,0.676997,1.370541,6.648620,0.911318,0.872556,0.944133,0.414842
llavaov,zero_shot,Dermoscopy,200,0.480000,0.262542,0.204368,0.327634,0.677045,1.877669,0.375827,0.279605,0.469045,0.206835
llavaov,zero_shot,Fundus Photography,200,0.425000,0.169008,0.132425,0.253578,0.697598,1.267628,0.521325,0.422980,0.622180,0.308549
llavaov,zero_shot,MR (Mag-netic Resonance Imaging),200,0.355000,0.297360,0.243548,0.369295,0.864805,2.645176,0.571115,0.468932,0.665698,0.292159
llavaov,zero_shot,Microscopy Images,200,0.410000,0.232704,0.186323,0.313938,0.810096,1.993586,0.534184,0.439306,0.632260,0.308268
llavaov,zero_shot,OCT (Optical Coherence Tomography,200,0.550000,0.091794,0.071504,0.166541,0.595914,1.181211,0.234606,0.174815,0.300891,0.112294
llavaov,zero_shot,X-Ray,200,0.300000,0.383040,0.322883,0.455169,1.022115,3.369280,0.764143,0.685025,0.830461,0.423591
llavaov,zero_shot,ultrasound,200,0.115000,0.666817,0.610842,0.718272,1.462832,6.691249,0.915223,0.859365,0.961173,0.276753
