model,condition,eval_dataset,evaluation_type,n,accuracy_all,error_n,high_conf_error_n,high_conf_error_pct_of_errors,high_conf_error_pct_of_all_items,coverage_at_risk_le_5pct,selective_accuracy_at_90pct_coverage,risk_at_90pct_coverage,review_fraction_at_90pct_coverage,selective_accuracy_at_80pct_coverage,risk_at_80pct_coverage,review_fraction_at_80pct_coverage,selective_accuracy_at_70pct_coverage,risk_at_70pct_coverage,review_fraction_at_70pct_coverage,selective_accuracy_at_50pct_coverage,risk_at_50pct_coverage,review_fraction_at_50pct_coverage
huatuo,pathvqa,pathvqa,fine_tuned_id,2060,0.852913,303,144,0.475248,0.069903,0.519903,0.882416,0.117584,0.100000,0.904733,0.095267,0.200000,0.923024,0.076976,0.300000,0.954369,0.045631,0.500000
huatuo,pathvqa,slake_en,fine_tuned_cross_dataset,357,0.507003,176,53,0.301136,0.148459,0.002801,0.531056,0.468944,0.100000,0.524476,0.475524,0.200000,0.512000,0.488000,0.300000,0.547486,0.452514,0.500000
huatuo,pathvqa,vqa_rad,fine_tuned_cross_dataset,122,0.532787,57,27,0.473684,0.221311,0.040984,0.563636,0.436364,0.100000,0.591837,0.408163,0.200000,0.616279,0.383721,0.300000,0.639344,0.360656,0.500000
huatuo,slake_en,pathvqa,fine_tuned_cross_dataset,2060,0.627670,767,39,0.050847,0.018932,0.000485,0.635383,0.364617,0.100000,0.646845,0.353155,0.200000,0.663662,0.336338,0.300000,0.712621,0.287379,0.500000
huatuo,slake_en,slake_en,fine_tuned_id,357,0.837535,58,22,0.379310,0.061625,0.526611,0.869565,0.130435,0.100000,0.895105,0.104895,0.200000,0.924000,0.076000,0.300000,0.949721,0.050279,0.500000
huatuo,slake_en,vqa_rad,fine_tuned_cross_dataset,122,0.622951,46,8,0.173913,0.065574,0.172131,0.645455,0.354545,0.100000,0.673469,0.326531,0.200000,0.686047,0.313953,0.300000,0.754098,0.245902,0.500000
huatuo,vqa_rad,pathvqa,fine_tuned_cross_dataset,2060,0.567961,890,203,0.228090,0.098544,0.002913,0.570658,0.429342,0.100000,0.589199,0.410801,0.200000,0.617198,0.382802,0.300000,0.664078,0.335922,0.500000
huatuo,vqa_rad,slake_en,fine_tuned_cross_dataset,357,0.831933,60,20,0.333333,0.056022,0.394958,0.863354,0.136646,0.100000,0.895105,0.104895,0.200000,0.920000,0.080000,0.300000,0.938547,0.061453,0.500000
huatuo,vqa_rad,vqa_rad,fine_tuned_id,122,0.819672,22,14,0.636364,0.114754,0.040984,0.845455,0.154545,0.100000,0.846939,0.153061,0.200000,0.837209,0.162791,0.300000,0.852459,0.147541,0.500000
huatuo,zero_shot,pathvqa,zero_shot,2060,0.672816,674,56,0.083086,0.027184,0.000000,0.688781,0.311219,0.100000,0.716019,0.283981,0.200000,0.742718,0.257282,0.300000,0.792233,0.207767,0.500000
huatuo,zero_shot,slake_en,zero_shot,357,0.756303,87,20,0.229885,0.056022,0.366947,0.791925,0.208075,0.100000,0.825175,0.174825,0.200000,0.856000,0.144000,0.300000,0.888268,0.111732,0.500000
huatuo,zero_shot,vqa_rad,zero_shot,122,0.737705,32,0,0.000000,0.000000,0.352459,0.772727,0.227273,0.100000,0.785714,0.214286,0.200000,0.802326,0.197674,0.300000,0.901639,0.098361,0.500000
internvl,pathvqa,pathvqa,fine_tuned_id,2060,0.896117,214,55,0.257009,0.026699,0.730583,0.925566,0.074434,0.100000,0.943568,0.056432,0.200000,0.950763,0.049237,0.300000,0.965049,0.034951,0.500000
internvl,pathvqa,slake_en,fine_tuned_cross_dataset,357,0.532213,167,123,0.736527,0.344538,0.033613,0.537267,0.462733,0.100000,0.545455,0.454545,0.200000,0.592000,0.408000,0.300000,0.614525,0.385475,0.500000
internvl,pathvqa,vqa_rad,fine_tuned_cross_dataset,122,0.532787,57,36,0.631579,0.295082,0.000000,0.545455,0.454545,0.100000,0.540816,0.459184,0.200000,0.558140,0.441860,0.300000,0.475410,0.524590,0.500000
internvl,slake_en,pathvqa,fine_tuned_cross_dataset,2060,0.675728,668,10,0.014970,0.004854,0.098544,0.697950,0.302050,0.100000,0.707524,0.292476,0.200000,0.719834,0.280166,0.300000,0.755340,0.244660,0.500000
internvl,slake_en,slake_en,fine_tuned_id,357,0.689076,111,10,0.090090,0.028011,0.154062,0.726708,0.273292,0.100000,0.765734,0.234266,0.200000,0.804000,0.196000,0.300000,0.854749,0.145251,0.500000
internvl,slake_en,vqa_rad,fine_tuned_cross_dataset,122,0.647541,43,7,0.162791,0.057377,0.090164,0.654545,0.345455,0.100000,0.673469,0.326531,0.200000,0.686047,0.313953,0.300000,0.672131,0.327869,0.500000
internvl,vqa_rad,pathvqa,fine_tuned_cross_dataset,2060,0.503883,1022,528,0.516634,0.256311,0.001456,0.505933,0.494067,0.100000,0.514563,0.485437,0.200000,0.532594,0.467406,0.300000,0.552427,0.447573,0.500000
internvl,vqa_rad,slake_en,fine_tuned_cross_dataset,357,0.677871,115,52,0.452174,0.145658,0.196078,0.689441,0.310559,0.100000,0.709790,0.290210,0.200000,0.720000,0.280000,0.300000,0.754190,0.245810,0.500000
internvl,vqa_rad,vqa_rad,fine_tuned_id,122,0.795082,25,17,0.680000,0.139344,0.024590,0.818182,0.181818,0.100000,0.816327,0.183673,0.200000,0.860465,0.139535,0.300000,0.852459,0.147541,0.500000
internvl,zero_shot,pathvqa,zero_shot,2060,0.548544,930,47,0.050538,0.022816,0.000485,0.544229,0.455771,0.100000,0.541262,0.458738,0.200000,0.543689,0.456311,0.300000,0.580583,0.419417,0.500000
internvl,zero_shot,slake_en,zero_shot,357,0.683473,113,2,0.017699,0.005602,0.316527,0.701863,0.298137,0.100000,0.734266,0.265734,0.200000,0.784000,0.216000,0.300000,0.865922,0.134078,0.500000
internvl,zero_shot,vqa_rad,zero_shot,122,0.639344,44,0,0.000000,0.000000,0.188525,0.663636,0.336364,0.100000,0.693878,0.306122,0.200000,0.720930,0.279070,0.300000,0.803279,0.196721,0.500000
llavaov,pathvqa,pathvqa,fine_tuned_id,2060,0.754854,505,90,0.178218,0.043689,0.053398,0.778317,0.221683,0.100000,0.793083,0.206917,0.200000,0.808599,0.191401,0.300000,0.831068,0.168932,0.500000
llavaov,pathvqa,slake_en,fine_tuned_cross_dataset,357,0.574230,152,111,0.730263,0.310924,0.005602,0.608696,0.391304,0.100000,0.650350,0.349650,0.200000,0.716000,0.284000,0.300000,0.782123,0.217877,0.500000
llavaov,pathvqa,vqa_rad,fine_tuned_cross_dataset,122,0.540984,56,45,0.803571,0.368852,0.000000,0.536364,0.463636,0.100000,0.510204,0.489796,0.200000,0.500000,0.500000,0.300000,0.475410,0.524590,0.500000
llavaov,slake_en,pathvqa,fine_tuned_cross_dataset,2060,0.613107,797,125,0.156838,0.060680,0.069903,0.623517,0.376483,0.100000,0.634102,0.365898,0.200000,0.656727,0.343273,0.300000,0.684466,0.315534,0.500000
llavaov,slake_en,slake_en,fine_tuned_id,357,0.736695,94,68,0.723404,0.190476,0.000000,0.742236,0.257764,0.100000,0.751748,0.248252,0.200000,0.732000,0.268000,0.300000,0.720670,0.279330,0.500000
llavaov,slake_en,vqa_rad,fine_tuned_cross_dataset,122,0.680328,39,7,0.179487,0.057377,0.049180,0.709091,0.290909,0.100000,0.734694,0.265306,0.200000,0.755814,0.244186,0.300000,0.770492,0.229508,0.500000
llavaov,vqa_rad,pathvqa,fine_tuned_cross_dataset,2060,0.618932,785,150,0.191083,0.072816,0.002913,0.616505,0.383495,0.100000,0.627427,0.372573,0.200000,0.635922,0.364078,0.300000,0.657282,0.342718,0.500000
llavaov,vqa_rad,slake_en,fine_tuned_cross_dataset,357,0.750700,89,44,0.494382,0.123249,0.067227,0.791925,0.208075,0.100000,0.821678,0.178322,0.200000,0.852000,0.148000,0.300000,0.849162,0.150838,0.500000
llavaov,vqa_rad,vqa_rad,fine_tuned_id,122,0.663934,41,15,0.365854,0.122951,0.090164,0.681818,0.318182,0.100000,0.734694,0.265306,0.200000,0.767442,0.232558,0.300000,0.819672,0.180328,0.500000
llavaov,zero_shot,pathvqa,zero_shot,2060,0.641748,738,407,0.551491,0.197573,0.111650,0.659115,0.340885,0.100000,0.668083,0.331917,0.200000,0.665049,0.334951,0.300000,0.683495,0.316505,0.500000
llavaov,zero_shot,slake_en,zero_shot,357,0.501401,178,122,0.685393,0.341737,0.288515,0.521739,0.478261,0.100000,0.562937,0.437063,0.200000,0.608000,0.392000,0.300000,0.776536,0.223464,0.500000
llavaov,zero_shot,vqa_rad,zero_shot,122,0.508197,60,23,0.383333,0.188525,0.073770,0.509091,0.490909,0.100000,0.540816,0.459184,0.200000,0.558140,0.441860,0.300000,0.622951,0.377049,0.500000
medgemma,pathvqa,pathvqa,fine_tuned_id,2060,0.546117,935,175,0.187166,0.084951,0.191748,0.540453,0.459547,0.100000,0.523665,0.476335,0.200000,0.511789,0.488211,0.300000,0.591262,0.408738,0.500000
medgemma,pathvqa,slake_en,fine_tuned_cross_dataset,357,0.647059,126,5,0.039683,0.014006,0.000000,0.670807,0.329193,0.100000,0.664336,0.335664,0.200000,0.680000,0.320000,0.300000,0.664804,0.335196,0.500000
medgemma,pathvqa,vqa_rad,fine_tuned_cross_dataset,122,0.557377,54,30,0.555556,0.245902,0.008197,0.563636,0.436364,0.100000,0.540816,0.459184,0.200000,0.534884,0.465116,0.300000,0.524590,0.475410,0.500000
medgemma,slake_en,pathvqa,fine_tuned_cross_dataset,2060,0.662136,696,476,0.683908,0.231068,0.000000,0.677994,0.322006,0.100000,0.699029,0.300971,0.200000,0.705270,0.294730,0.300000,0.728155,0.271845,0.500000
medgemma,slake_en,slake_en,fine_tuned_id,357,0.871148,46,39,0.847826,0.109244,0.002801,0.900621,0.099379,0.100000,0.923077,0.076923,0.200000,0.944000,0.056000,0.300000,0.944134,0.055866,0.500000
medgemma,slake_en,vqa_rad,fine_tuned_cross_dataset,122,0.655738,42,32,0.761905,0.262295,0.032787,0.663636,0.336364,0.100000,0.683673,0.316327,0.200000,0.686047,0.313953,0.300000,0.672131,0.327869,0.500000
medgemma,vqa_rad,pathvqa,fine_tuned_cross_dataset,2060,0.662621,695,509,0.732374,0.247087,0.000000,0.672600,0.327400,0.100000,0.688107,0.311893,0.200000,0.695562,0.304438,0.300000,0.700000,0.300000,0.500000
medgemma,vqa_rad,slake_en,fine_tuned_cross_dataset,357,0.823529,63,56,0.888889,0.156863,0.000000,0.844720,0.155280,0.100000,0.846154,0.153846,0.200000,0.836000,0.164000,0.300000,0.787709,0.212291,0.500000
medgemma,vqa_rad,vqa_rad,fine_tuned_id,122,0.786885,26,19,0.730769,0.155738,0.032787,0.836364,0.163636,0.100000,0.846939,0.153061,0.200000,0.837209,0.162791,0.300000,0.836066,0.163934,0.500000
medgemma,zero_shot,pathvqa,zero_shot,2060,0.639320,743,635,0.854643,0.308252,0.000000,0.659115,0.340885,0.100000,0.686286,0.313714,0.200000,0.705964,0.294036,0.300000,0.738835,0.261165,0.500000
medgemma,zero_shot,slake_en,zero_shot,357,0.865546,48,42,0.875000,0.117647,0.582633,0.885093,0.114907,0.100000,0.898601,0.101399,0.200000,0.936000,0.064000,0.300000,0.949721,0.050279,0.500000
medgemma,zero_shot,vqa_rad,zero_shot,122,0.721311,34,28,0.823529,0.229508,0.065574,0.745455,0.254545,0.100000,0.785714,0.214286,0.200000,0.790698,0.209302,0.300000,0.819672,0.180328,0.500000
qwen25vl,pathvqa,pathvqa,fine_tuned_id,2060,0.879126,249,94,0.377510,0.045631,0.800000,0.920712,0.079288,0.100000,0.950243,0.049757,0.200000,0.956311,0.043689,0.300000,0.972816,0.027184,0.500000
qwen25vl,pathvqa,slake_en,fine_tuned_cross_dataset,357,0.523810,170,142,0.835294,0.397759,0.000000,0.546584,0.453416,0.100000,0.580420,0.419580,0.200000,0.588000,0.412000,0.300000,0.569832,0.430168,0.500000
qwen25vl,pathvqa,vqa_rad,fine_tuned_cross_dataset,122,0.565574,53,41,0.773585,0.336066,0.008197,0.581818,0.418182,0.100000,0.602041,0.397959,0.200000,0.593023,0.406977,0.300000,0.590164,0.409836,0.500000
qwen25vl,slake_en,pathvqa,fine_tuned_cross_dataset,2060,0.631553,759,31,0.040843,0.015049,0.000000,0.645092,0.354908,0.100000,0.661408,0.338592,0.200000,0.678225,0.321775,0.300000,0.707767,0.292233,0.500000
qwen25vl,slake_en,slake_en,fine_tuned_id,357,0.787115,76,5,0.065789,0.014006,0.453782,0.832298,0.167702,0.100000,0.856643,0.143357,0.200000,0.884000,0.116000,0.300000,0.944134,0.055866,0.500000
qwen25vl,slake_en,vqa_rad,fine_tuned_cross_dataset,122,0.663934,41,10,0.243902,0.081967,0.073770,0.654545,0.345455,0.100000,0.632653,0.367347,0.200000,0.616279,0.383721,0.300000,0.639344,0.360656,0.500000
qwen25vl,vqa_rad,pathvqa,fine_tuned_cross_dataset,2060,0.570874,884,416,0.470588,0.201942,0.001942,0.577131,0.422869,0.100000,0.586165,0.413835,0.200000,0.584605,0.415395,0.300000,0.607767,0.392233,0.500000
qwen25vl,vqa_rad,slake_en,fine_tuned_cross_dataset,357,0.680672,114,72,0.631579,0.201681,0.145658,0.686335,0.313665,0.100000,0.713287,0.286713,0.200000,0.752000,0.248000,0.300000,0.860335,0.139665,0.500000
qwen25vl,vqa_rad,vqa_rad,fine_tuned_id,122,0.762295,29,15,0.517241,0.122951,0.278689,0.818182,0.181818,0.100000,0.836735,0.163265,0.200000,0.860465,0.139535,0.300000,0.918033,0.081967,0.500000
qwen25vl,zero_shot,pathvqa,zero_shot,2060,0.702427,613,129,0.210440,0.062621,0.001456,0.724380,0.275620,0.100000,0.748180,0.251820,0.200000,0.773232,0.226768,0.300000,0.818447,0.181553,0.500000
qwen25vl,zero_shot,slake_en,zero_shot,357,0.759104,86,13,0.151163,0.036415,0.420168,0.791925,0.208075,0.100000,0.825175,0.174825,0.200000,0.848000,0.152000,0.300000,0.938547,0.061453,0.500000
qwen25vl,zero_shot,vqa_rad,zero_shot,122,0.778689,27,3,0.111111,0.024590,0.286885,0.827273,0.172727,0.100000,0.846939,0.153061,0.200000,0.860465,0.139535,0.300000,0.901639,0.098361,0.500000
smolvlm,pathvqa,pathvqa,fine_tuned_id,2060,0.787864,437,234,0.535469,0.113592,0.485922,0.824164,0.175836,0.100000,0.851942,0.148058,0.200000,0.880028,0.119972,0.300000,0.947573,0.052427,0.500000
smolvlm,pathvqa,slake_en,fine_tuned_cross_dataset,357,0.518207,172,143,0.831395,0.400560,0.002801,0.527950,0.472050,0.100000,0.559441,0.440559,0.200000,0.576000,0.424000,0.300000,0.608939,0.391061,0.500000
smolvlm,pathvqa,vqa_rad,fine_tuned_cross_dataset,122,0.524590,58,43,0.741379,0.352459,0.016393,0.536364,0.463636,0.100000,0.561224,0.438776,0.200000,0.593023,0.406977,0.300000,0.573770,0.426230,0.500000
smolvlm,slake_en,pathvqa,fine_tuned_cross_dataset,2060,0.550485,926,176,0.190065,0.085437,0.000485,0.551241,0.448759,0.100000,0.558859,0.441141,0.200000,0.563800,0.436200,0.300000,0.568932,0.431068,0.500000
smolvlm,slake_en,slake_en,fine_tuned_id,357,0.677871,115,50,0.434783,0.140056,0.126050,0.698758,0.301242,0.100000,0.730769,0.269231,0.200000,0.744000,0.256000,0.300000,0.731844,0.268156,0.500000
smolvlm,slake_en,vqa_rad,fine_tuned_cross_dataset,122,0.614754,47,8,0.170213,0.065574,0.016393,0.627273,0.372727,0.100000,0.612245,0.387755,0.200000,0.616279,0.383721,0.300000,0.639344,0.360656,0.500000
smolvlm,vqa_rad,pathvqa,fine_tuned_cross_dataset,2060,0.520874,987,444,0.449848,0.215534,0.010194,0.524272,0.475728,0.100000,0.526699,0.473301,0.200000,0.531207,0.468793,0.300000,0.536893,0.463107,0.500000
smolvlm,vqa_rad,slake_en,fine_tuned_cross_dataset,357,0.627451,133,64,0.481203,0.179272,0.058824,0.639752,0.360248,0.100000,0.653846,0.346154,0.200000,0.664000,0.336000,0.300000,0.715084,0.284916,0.500000
smolvlm,vqa_rad,vqa_rad,fine_tuned_id,122,0.827869,21,6,0.285714,0.049180,0.040984,0.854545,0.145455,0.100000,0.867347,0.132653,0.200000,0.872093,0.127907,0.300000,0.918033,0.081967,0.500000
smolvlm,zero_shot,pathvqa,zero_shot,2060,0.533010,962,207,0.215177,0.100485,0.003883,0.534520,0.465480,0.100000,0.540049,0.459951,0.200000,0.545770,0.454230,0.300000,0.544660,0.455340,0.500000
smolvlm,zero_shot,slake_en,zero_shot,357,0.568627,154,73,0.474026,0.204482,0.044818,0.574534,0.425466,0.100000,0.587413,0.412587,0.200000,0.592000,0.408000,0.300000,0.620112,0.379888,0.500000
smolvlm,zero_shot,vqa_rad,zero_shot,122,0.704918,36,4,0.111111,0.032787,0.237705,0.745455,0.254545,0.100000,0.755102,0.244898,0.200000,0.790698,0.209302,0.300000,0.819672,0.180328,0.500000
