model,train_dataset,eval_dataset,n_source_calib,n_target_calib,n_test,source_temperature,target_temperature,accuracy,ece_unscaled,ece_source_temperature,ece_target_temperature,target_minus_source_ece,nll_unscaled,nll_source_temperature,nll_target_temperature,target_minus_source_nll
qwen25vl,vqa_rad,slake_en,115,233,357,2.501543,2.575150,0.680672,0.238678,0.143527,0.136838,-0.006689,0.924216,0.589979,0.587059,-0.002920
qwen25vl,vqa_rad,pathvqa,115,1646,2060,2.501543,3.269422,0.570874,0.273828,0.130831,0.092102,-0.038729,1.093985,0.730444,0.699719,-0.030726
qwen25vl,slake_en,vqa_rad,233,115,122,1.303536,7.972176,0.663934,0.221035,0.169314,0.111459,-0.057855,0.781931,0.713786,0.659886,-0.053901
qwen25vl,slake_en,pathvqa,233,1646,2060,1.303536,1.595046,0.631553,0.064723,0.030219,0.026481,-0.003738,0.656181,0.642231,0.639190,-0.003041
qwen25vl,pathvqa,vqa_rad,1646,115,122,1.953722,19.999994,0.565574,0.381950,0.297540,0.038886,-0.258654,1.748044,1.021465,0.681661,-0.339804
qwen25vl,pathvqa,slake_en,1646,233,357,1.953722,8.888600,0.523810,0.415043,0.300934,0.064071,-0.236863,1.517050,0.939634,0.695239,-0.244395
internvl,vqa_rad,slake_en,115,233,357,3.442410,3.065608,0.677871,0.212010,0.041309,0.070740,0.029432,0.846975,0.597485,0.597848,0.000364
internvl,vqa_rad,pathvqa,115,1646,2060,3.442410,8.732276,0.503883,0.364123,0.174822,0.078683,-0.096140,1.377259,0.756932,0.694565,-0.062367
internvl,slake_en,vqa_rad,233,115,122,1.586722,4.760442,0.647541,0.128841,0.103802,0.079426,-0.024376,0.716041,0.650865,0.642066,-0.008799
internvl,slake_en,pathvqa,233,1646,2060,1.586722,1.781947,0.675728,0.048026,0.036625,0.049281,0.012656,0.605839,0.602418,0.605497,0.003079
internvl,pathvqa,vqa_rad,1646,115,122,1.501314,19.999994,0.532787,0.361429,0.301755,0.041857,-0.259898,1.449444,1.076962,0.691267,-0.385695
internvl,pathvqa,slake_en,1646,233,357,1.501314,6.866892,0.532213,0.373901,0.315298,0.068705,-0.246592,1.356477,1.011199,0.693238,-0.317960
llavaov,vqa_rad,slake_en,115,233,357,3.022051,4.011066,0.750700,0.173391,0.055623,0.066571,0.010948,0.850058,0.506182,0.506341,0.000159
llavaov,vqa_rad,pathvqa,115,1646,2060,3.022051,8.114295,0.618932,0.165605,0.039983,0.072791,0.032808,0.802911,0.661731,0.670070,0.008339
llavaov,slake_en,vqa_rad,233,115,122,3.255962,3.375206,0.680328,0.121071,0.087264,0.085928,-0.001336,0.716132,0.615729,0.616504,0.000775
llavaov,slake_en,pathvqa,233,1646,2060,3.255962,6.558177,0.613107,0.128679,0.036699,0.058336,0.021638,0.750589,0.645707,0.658211,0.012504
llavaov,pathvqa,vqa_rad,1646,115,122,1.307057,19.999996,0.540984,0.411108,0.383195,0.077376,-0.305819,1.649106,1.323248,0.694868,-0.628380
llavaov,pathvqa,slake_en,1646,233,357,1.307057,19.999995,0.574230,0.357341,0.318583,0.188849,-0.129734,1.197230,0.977012,0.675987,-0.301025
smolvlm,vqa_rad,slake_en,115,233,357,2.241236,4.597182,0.627451,0.252136,0.141872,0.049390,-0.092482,1.097472,0.706362,0.627833,-0.078529
smolvlm,vqa_rad,pathvqa,115,1646,2060,2.241236,6.845258,0.520874,0.317276,0.200173,0.069602,-0.130571,1.375661,0.870969,0.708386,-0.162584
smolvlm,slake_en,vqa_rad,233,115,122,1.757383,14.487675,0.614754,0.171390,0.129827,0.090006,-0.039821,0.826262,0.707111,0.680944,-0.026167
smolvlm,slake_en,pathvqa,233,1646,2060,1.757383,3.346566,0.550485,0.211265,0.133373,0.052180,-0.081193,0.907078,0.753033,0.696266,-0.056767
smolvlm,pathvqa,vqa_rad,1646,115,122,3.189490,19.999994,0.524590,0.420883,0.262944,0.070969,-0.191975,2.122922,0.893974,0.684669,-0.209306
smolvlm,pathvqa,slake_en,1646,233,357,3.189490,11.239290,0.518207,0.445954,0.324237,0.111377,-0.212861,2.754478,1.038170,0.708237,-0.329933
medgemma,vqa_rad,slake_en,115,233,357,3.702290,3.485356,0.823529,0.158419,0.107075,0.117160,0.010086,0.930287,0.476868,0.476928,0.000060
medgemma,vqa_rad,pathvqa,115,1646,2060,3.702290,7.271232,0.662621,0.262388,0.035978,0.068768,0.032790,1.100342,0.643860,0.644190,0.000330
medgemma,slake_en,vqa_rad,233,115,122,6.796215,9.076591,0.655738,0.298965,0.063429,0.044151,-0.019278,1.590165,0.637864,0.637207,-0.000658
medgemma,slake_en,pathvqa,233,1646,2060,6.796215,4.970878,0.662136,0.263227,0.037429,0.061534,0.024104,1.300161,0.637261,0.639261,0.002000
medgemma,pathvqa,vqa_rad,1646,115,122,3.062980,19.999995,0.557377,0.292786,0.178736,0.079619,-0.099117,1.379611,0.795137,0.693808,-0.101330
medgemma,pathvqa,slake_en,1646,233,357,3.062980,19.999995,0.647059,0.093137,0.144070,0.136973,-0.007098,0.693475,0.670437,0.688077,0.017640
huatuo,vqa_rad,slake_en,115,233,357,2.318980,2.463385,0.831933,0.076225,0.040357,0.050234,0.009877,0.437294,0.387008,0.391283,0.004275
huatuo,vqa_rad,pathvqa,115,1646,2060,2.318980,3.655203,0.567961,0.228995,0.104573,0.049035,-0.055538,0.893520,0.690010,0.667647,-0.022363
huatuo,slake_en,vqa_rad,233,115,122,1.780905,4.791918,0.622951,0.197220,0.170948,0.116540,-0.054409,0.770245,0.629415,0.607549,-0.021866
huatuo,slake_en,pathvqa,233,1646,2060,1.780905,1.599693,0.627670,0.121199,0.053912,0.063016,0.009104,0.679402,0.632987,0.636001,0.003014
huatuo,pathvqa,vqa_rad,1646,115,122,1.964545,19.999994,0.532787,0.336249,0.219820,0.107829,-0.111992,1.062422,0.759589,0.682426,-0.077163
huatuo,pathvqa,slake_en,1646,233,357,1.964545,19.999993,0.507003,0.310179,0.202592,0.092029,-0.110562,1.054279,0.782423,0.688680,-0.093743
